⑯⑴⑮③	aback
⑯⑴⒁②	abate
⑮⑴⑬⑹	abbeys
⑮⑴⑯②	abbot
⑯⑴⒂⑵	abide
⒁⑴⑯⑪	able
⒁⑴⑪⑬	ably
⑯⑴⒉⑵	aboard
⑯⑴⒄⑵	abode
⑯⑴⒉②	abort
⑯⑴⑲②	about
⑯⑴⒃⑷	above
⑯⑴⒏⑥	abuse
⑯⑴⒏⑹	abuse
⑯⑴⑬⑥	abyss
⑯③⒉⑵	accord
⑯③⑾⒅	accrue
⑯③⒏⑹	accuse
⒁⑥⑯⑹	aces
⑯⑧⒀⑷	achieve
⒁③⑬⑩	aching
⑮⑥⑬⑵	acid
⑮③⑿⑬	acne
⒁③⒉⑿	acorn
⒁③⒌⑹	acres
⑮③②⒌	actor
⑮③②⑥	acts
⑯③⒏②	acute
⑮⑵⑬⑻	adage
⑮⑵⑯⑵	added
⑮⑵⑬⑩	adding
⑯⑵⑽⒍	adhere
⑯⑻⒋⑿	adjourn
⑯⑵⒉⑵	adored
⑯⑵⒉⑹	adores
⒀⑻⑬⑥	aegis
⒀⑰⑿⑹	aeons
⒊⒎⑪⑹	aerials
⑯④⒊⑹	affairs
⑯④⒋⑫	affirm
⑯④⒉⑵	afford
⑯④⑾⒁	affray
⑯④⑱②	afoot
⑳④②⒌	after
⑯⑶⒁⑿	again
⒁⑻⑯⑵	aged
⒁⑻⑬⑩	ageing
⒁⑻⑯⑹	ages
⑮⑶⑾⒄	aggro
⑮⑻⒂⑪	agile
⑯⑶⑾⒀	agree
⑯⑽⑭⑵	ahead
⒁⑵⑯⑵	aided
⒁⑵⑬⑩	aiding
⒁⑪⑬⑩	ailing
⒁⑫⑬⑩	aiming
⒊⑴⒉⑿	airborne
⒊③⑾⒅	aircrew
⒊④⑪⒄	airflow
⒊⑬⑪⑬	airily
⒊⑪⑯⑥	airless
⒊⑪⒂⑿	airline
⒊⑪⑰③	airlock
⒊⑫⑯⑿	airman
⒊⑫⑭⑿	airmen
⒊①⒉②	airport
⒊⑦⑬①	airship
⒊②⒂②	airtight
⒊⑼⒁⑹	airways
⑯③⑬⑿	akin
⑯⑪⒈⑫	alarm
⑯⑪⑮⑥	alas
⑯⑪⒋②	alert
⑮⑪⑶⒀	algae
⒁⑪⒎⑥	alias
⒁⑪⒎⑿	alien
⑯⑪⒂②	alight
⑯⑪⒂⑿	align
⑯⑪⒂③	alike
⑯⑪⒂⑷	alive
⑮⑪⑬⑹	alleys
⑯⑪⒂⑵	allied
⑮⑪⒂⑹	allies
⑯⑪⑰②	allot
⑯⑪⑲⑵	allowed
⑯⑪⑲⑹	allows
⑮⑪⒆⑹	alloys
⑯⑪⑱⒌	allure
⑯⑪⒄⑿	alone
⑯⑪⑰⑩	along
⑯⑪⒅④	aloof
⑮⑪④⑯	alpha
⒇⑪⑥⒄	also
⒇⑪②⒌	alter
⒇⑪⑸⒄	although
⑮⑪②⒄	alto
⑯⑫⒁⑹	amaze
⑮⑫⑴⒌	amber
⑳⑫⑭⑿	amen
⑯⑫⑬⑵	amid
⑯⑫⑬⑥	amiss
⑯⑫⒃⑩	among
⑮⑫①⑥	amps
⑯⑫⒏⑹	amuse
⒁⑿⑯⑪	anal
⑮⑩③⒌	anchor
⑮⑩⑶⒌	anger
⑮⑩⑥②	angst
⑯⑿⒆⑵	annoyed
⑯⑿⒆⑹	annoys
⑳⑿⑥⒌	answer
⑮⑿②⑬	anti
⑮⑿②⑥	ants
⒁⑿⑯⑥	anus
⑯①⒁⑥	apace
⑯①⒈②	apart
⑯①⒀⑥	apiece
⑯①⒀⑪	appeal
⑯①⒍⑵	appeared
⑯①⒍⑹	appears
⑯①⒀⑹	appease
⑮①⑯⑪	apple
⑯①⑪⒂	apply
⑮⑾⑯⑴	arab
⒈③⒁⑵	arcade
⒈③⒁⑿	arcane
⒈⑧⒌⑹	archers
⒈⑧⒌⑬	archery
⒈⑧⑯⑹	arches
⒈⑧⑬⑩	arching
⒈③⒂⑷	archive
⒈⑧⑪⑬	archly
⒈⑧⑼⒁	archway
⒌⒀⑿⑯	arena
⒈⑶⒏⑵	argued
⒈⑶⒏⑹	argues
⑮⑾⑬⑵	arid
⒈⑫⑧⒊	armchair
⒈⑫⑬⑹	armies
⒈⑫⒌⑵	armoured
⒈⑫⒌⑬	armoury
⒌⒄⑫⑯	aroma
⒌⑲⑿⑵	around
⒌⑲⑹⑵	aroused
