⑮⑴⑯⑥⒂	abaci
⑯⑴⑳④②	abaft
⑯⑴⒁⑥②	abased
⑯⑴⑮⑦②	abashed
⑯⑴⒁②⑥	abates
⑮⑴⑯②⑥	abbots
⒁⑴⒀⑥⒀	abc
⑯⑴⑭②⑥	abets
⑯⑴⑽⒉⑵	abhorred
⑯⑴⑽⒉⑹	abhors
⑯⑴⒂⑵⑹	abides
⑯⑴⑻⑱⒌	abjure
⑮⑴⑪⑲②	ablaut
⑯⑴⑪⒁⑹	ablaze
⑯⑴⑪⒅⑫	abloom
⑯⑴⑪⒅②	ablute
⑯⑴⒄⑵⑹	abodes
⑯⑴⒉②⑥	aborts
⑯⑴⑲⑿⑵	abound
⑯⑴⑾⒁⑵	abrade
⑯⑴⑾⑬⑻	abridge
⑯⑴⑾⒇⑵	abroad
⑮⑴⑥⑭⑥	abscess
⑯⑴⑥⒉⑴	absorb
⑯⑴⑥⒋⑵	absurd
⑯⑴⒏⑹⑵	abused
⑯⑴⒏⑹⒌	abuser
⑯⑴⒃②⑥	abuts
⑯③⒁⑦⑯	acacia
⑯③⑥⒀⑵	accede
⑮③⑥⑭⑥	access
⑯③⑪⒁⑫	acclaim
⑯③⒉⑵⑹	accords
⑯③⑰⑥②	accost
⑯③⑲⑿②	account
⑯③⑾⒅⑵	accrued
⑯③⑾⒅⑹	accrues
⑯③⒋⑥②	accurst
⑯③⒏⑹⑵	accused
⑯③⒏⑹⒌	accuser
⑯⑧⒀⑷⑵	achieved
⑯⑧⒀⑷⒌	achiever
⑯⑧⒀⑷⑹	achieves
⑮⑥⑬⑵⑹	acids
⑮③⑿⑬⑵	acned
⒁③⒉⑿⑹	acorns
⑯③⑼⒂⒌	acquire
⑯③⑼⑬②	acquit
⒁③⒌⑬⑻	acreage
⑮③⑾⑬⑵	acrid
⑯③⑾⑰⑥	across
⑮③②⑯⑵	acted
⑮③②⑬⑩	acting
⑮③⑦⑯⑿	action
⑮③②⑬⑷	active
⑮③②⒌⑹	actors
⑯⑵⑮①②	adapt
⑮⑵⑬③②	addict
⑯⑵⑬③②	addict
⑮⑵⑯⑪⑵	addled
⑮⑵⑯⑪⑹	addles
⑮⑵⑪⑬⑩	addling
⑯⑵⑾⑭⑥	address
⑯⑵⒏⑥②	adduced
⑮⑵⑭①②	adept
⑯⑵⑭①②	adept
⑯⑵⑽⒍⑵	adhered
⑯⑵⑽⒍⑹	adheres
⑯⑻⒆⑿⑵	adjoined
⑯⑻⒆⑿⑹	adjoins
⑯⑻⒋⑿⑵	adjourned
⑯⑻⒋⑿⑹	adjourns
⑯⑻⒃⑻⑵	adjudged
⑯⑻⑱⒌⑵	adjured
