⑯⑴⑮⑿⑵⑯⑿	abandon
⑮⑴⑯②⑼⒈⑹	abattoirs
⑮⑴⑵⑬③⒁②	abdicate
⑮⑴⑵⑯⑫⑯⑿	abdomen
⑯⑴⑵⒃③②⑥	abducts
⑮⑴⑭⑾⑯⑿②	aberrant
⑮⑴⒌⒁⑦⑯⑿	aberration
⑯⑴⑬⑪⑬②⑬	ability
⑯⑴⑻⑱⒌⑬⑩	abjuring
⑮⑴⑪⑯②⑬⑷	ablative
⑯⑴⑪⒅②⑯⑵	abluted
⑯⑴⑪⒅⑦⑯⑿	ablution
⑮⑴⑿⒉⑫⑯⑪	abnormal
⑯⑴⑰⑪⑬⑦②	abolished
⑯⑴⒉⑦⑯⑿⑹	abortions
⑯⑴⑲⑿⑵⑯⑵	abounded
⑯⑴⑲⑿⑵⑬⑩	abounding
⑯⑴⑾⒁⑵⑯⑵	abraded
⑯⑴⑾⒁⑵⑬⑩	abrading
⑯⑴⑾⒁⑺⑯⑿	abrasion
⑯⑴⑾⒁⑥⑬⑷	abrasive
⑯⑴⑾⑬⑻⑯⑹	abridges
⑯⑴⑾⑬⑻⑬⑩	abridging
⑮⑴⑾⑯⑶⒁②	abrogate
⑮⑴⑥⑭⑥⑯⑹	abscesses
⑯⑴⑥③⑰⑿⑵	abscond
⑮⑴⑥⑯⑿②⒀	absentee
⑯⑴⑥⑭⑿②⑥	absents
⑮⑴⑥⑯⑪⒅②	absolute
⑯⑴⑹⑰⑪⑷⑵	absolved
⑯⑴⑹⑰⑪⑷⑹	absolves
⑯⑴⑥⒉⑴⑬⑩	absorbing
⑯⑴⑥②⒁⑿⑵	abstained
⑯⑴⑥②⒁⑿⒌	abstainer
⑯⑴⑥②⒁⑿⑹	abstains
⑮⑴⑥②⑾⒅⑥	abstruse
⑯⑴⑥⒋⑵⑪⑬	absurdly
⑯⑴⑬⑹⑫⑯⑪	abysmal
⑯⑴⑬⑹⑯⑫⑹	abysms
⑯③⑮⑵⑯⑫⑬	academy
⑯③⑥⒀⑵⑯⑵	acceded
⑯③⑥⒀⑵⑬⑩	acceding
⑮③⑥⑯⑿②⑥	accents
⑯③⑥⑭⑿②⑥	accents
⑯③⑥⑭①②⑥	accepts
⑯③⑥⑭⑥⒌⑬	accessory
⑮③⑥⑭⑥⑯⑹	accesses
⑮③⑥⑭⑥⑬⑩	accessing
⑯③⑥⑭⑦⑯⑿	accession
⑯③⑪⒁⑫⑬⑩	acclaiming
⑮③⑪⑬⑫⒁②	acclimate
⑮③⑯⑪⒁⑵⑹	accolades
⑯③⒉⑵⑯⑿⑥	accordance
⑯③⒉⑵⒎⑿⑹	accordions
⑯③⑰⑥②⑯⑵	accosted
⑯③⑰⑥②⑬⑩	accosting
⑯③⒅⑦⑫⑳⑩	accouchement
⑯③⑲⑿②⑯⑵	accounted
⑯③⑲⑿②⑬⑩	accounting
⑯③⑾⑭⑵⑬②	accredit
⑯③⑾⒀②⑬⑩	accreting
⑯③⑾⒀⑦⑯⑿	accretion
⑮③⑨⒌⑯⑥⑬	accuracy
⑯③⒃⑥②⑯⑫	accustom
⑯⑥⒋⑴⑬②⑬	acerbity
⑮⑥⑬②⒁②⑥	acetates
⑯⑥⑬⑵⑬④⒂	acidify
⑯⑥⑬⑵⑬②⑬	acidity
⑯③⑿⑰⑪⑬⑻	acknowledge
⑮③⑯⑪⒂②⑥	acolytes
⑮③⑯⑿⒂②⑥	aconites
⑯③⒅⑥②⑬③	acoustic
⑯③⑼⒁⑿②⑥	acquaints
⑮③⑼⑬⑭⑥②	acquiesced
⑯③⑼⒂⒌⑬⑩	acquiring
⑯③⑼⑬②⑯⑪	acquittal
⑯③⑼⑬②⑯⑵	acquitted
⑯③⑼⑬②⑬⑩	acquitting
⑮③⑾⑯⑴⑮②	acrobat
⑮③⑾⑯⑿⑬⑫	acronym
⑯③⑾⑬⑪⑬③	acrylic
⑮③②⑬⑿⑬③	actinic
⑮③②⑬⑷⒁②	activate
⑮③②⑬⑷⑪⑬	actively
⑮③⑧⑱⑯⑪⑬	actually
⑮③⑧⑱⒊⒎⑪	actuarial
⑮③⑧⑱⒌⑬⑹	actuaries
⑮③⑧⑱⒁②⑥	actuates
⑮③⑨⑯⑫⑯⑿	acumen
⑯③⒏②⑿⑯⑥	acuteness
⑯③⒏②⑯⑥②	acutest
⑯⑵⑳⑻⑬⒄⑹	adagios
⑮⑵⑯⑫⑯⑿②	adamant
⑯⑵⑮①②⑯⑵	adapted
⑯⑵⑮①②⒌⑹	adaptors
⑯⑵⑮①②⑬⑩	adapting
⑯⑵⑮①②⑬⑷	adaptive
⑯⑵⑭⑿⑵⑯⑫	addendum
⑯⑵⑬③②⑯⑵	addicted
⑯⑵⑬③②⑬⑩	addicting
⑯⑵⑬③⑦⑯⑿	addiction
⑯⑵⑬③②⑬⑷	addictive
⑯⑵⑬⑦⑯⑿⑹	additions
⑮⑵⑬②⑬⑷⑹	additives
⑮⑵⑾⑭⑥⒀⑹	addressees
⑯⑵⑾⑭⑥⑯⑹	addresses
⑯⑵⑾⑭⑥⑬⑩	addressing
⑮⑵⑯⑿⒆⑵⑹	adenoids
⑮⑵⑬③⑼⑯②	adequate
⑯⑵⑽⒍⑯⑿⑥	adherence
⑯⑵⑽⒍⑯⑿②	adherent
⑯⑵⑽⒀⑺⑯⑿	adhesion
⑯⑵⑽⒀⑥⑬⑷	adhesive
⑯⑻⒁⑥⑯⑿②	adjacent
⑮⑻⑬③②⑬⑷	adjective
⑮⑻⒃⑩③②⑥	adjuncts
⑮⑻⒌⒁⑦⑯⑿	adjuration
⑯⑻⒃⑥②⑯⑵	adjusted
⑯⑻⒃⑥②⒌⑹	adjusters
⑯⑻⒃⑥②⑬⑩	adjusting
⑮⑻⑱②⑯⑿②	adjutant
⑮⑵⑫⒌⑯⑪⑹	admirals
⑯⑵⑫⒂⒌⒌⑹	admirers
⑯⑵⑫⒂⒌⑬⑩	admiring
⑯⑵⑫⑬⑦⑯⑿	admission
⑯⑵⑫⑬②⑯⑵	admitted
⑯⑵⑫⑬②⑬⑩	admitting
⑮⑵⑫⑬③⑥②	admixed
⑯⑵⑫⑰⑿⑬⑦	admonish
⑯⑵⑰①②⑯⑵	adopted
⑯⑵⑰①②⑬⑩	adopting
⑯⑵⑰①⑦⑯⑿	adoption
⑯⑵⑰①②⑬⑷	adoptive
⑯⑵⒉⑯⑴⑯⑪	adorable
⑯⑵⒉⑯⑴⑪⑬	adorably
⑮⑵⒌⒁⑦⑯⑿	adoration
⑯⑵⒉⑬⑩⑪⑬	adoringly
⑯⑵⑾⒀⑿⑯⑪	adrenal
⑯⑵⑾⒆②⑪⑬	adroitly
⑯⑵⒃⑪②⒌⒌	adulterer
⑯⑵⒃⑪②⒌⑬	adultery
⑯⑵⑷⑳⑿⑥②	advanced
⑮⑵⑷⑯⑿②⑥	advents
⑯⑵⑷⑭⑿⑧⒌	adventure
⑮⑵⑷⒋⑴⒎⑪	adverbial
⑮⑵⑷⒌⑥⒌⑬	adversary
⑮⑵⑷⒋⑥⑪⑬	adversely
⑯⑵⑷⒋②⑯⑵	adverted
⑯⑵⑷⒋②⑬⑩	adverting
⑮⑵⑷⒌②⒂⑹	advertise
⑯⑵⑷⒂⑥⑯⑹	advices
⑯⑵⑷⒂⑹⒌⑹	advisers
⑯⑵⑷⒂⑹⑯⑹	advises
⑯⑵⑷⒂⑹⑬⑩	advising
⑯⑵⑷⒂⑹⒌⑬	advisory
⑮⑵⑷⑯③⑯②	advocate
⑮⑵⑷⑯③⒁②	advocate
⑯⑵⑷⑲⑹⑯⑿	advowson
⒊⑯⑵⑾⒄⑫⑹	aerodromes
⒊⑯①⑪⒁⑿⑹	aeroplanes
⒀⑥⑤⑭②⑬③	aesthetic
⑯④⑭③②⑯⑵	affected
⑯④⑭③②⑬⑩	affecting
⑯④⑭③⑦⑯⑿	affection
⑯④⒂⑯⑿⑥②	affianced
⑯④⑬⑪⑬⒁②	affiliate
⑯④⑬⑿⑬②⑬	affinity
⑮④⑬③⑥⑯⑹	affixes
⑯④⑬③⑥⑯⑹	affixes
⑯④⑬③⑥⑬⑩	affixing
⑯④⑪⒁②⑯⑥	afflatus
⑯④⑪⑬③②⑥	afflicts
⑮④⑪⑱⑯⑿⑥	affluence
⑮④⑪⑱⑯⑿②	affluent
⑯④⑰⑾⑬⑥②	afforest
⑯④⑾⒂②⑯⑵	affrighted
⑯④⑾⒃⑿②⑥	affronts
⑮④⑾⑬③⑯⑿	african
⑳④②⒌⑶⑪⒄	afterglow
⑳④②⒌⑪⒂④	afterlife
⑳④②⒌⑫⑮⑤	aftermath
⑳④②⒌⑿⒅⑿	afternoon
⑳④②⒌⑤⒇②	afterthought
⑳④②⒌⑼⒌⑵	afterward
⒁⑻⑯⑿⑥⑬⑹	agencies
⑯⑻⑭⑿⑵⑯⑹	agendas
⑮⑶⑾⑯⑷⒁②	aggravate
⑮⑶⑾⑬⑶⑯②	aggregate
⑮⑶⑾⑬⑶⒁②	aggregate
⑯⑶⑾⑭⑦⑯⑿	aggression
⑯⑶⑾⑭⑥⑬⑷	aggressive
⑯⑶⑾⑭⑥⒌⑹	aggressors
⑯⑶⑾⒀⑷⑬⑩	aggrieving
⑯⑻⑬⑪⑬②⑬	agility
⑮⑻⑬②⒁②⑥	agitates
⑮⑻⑬②⒁②⒌	agitator
⑮⑶⑯⑿⒂⑹⑵	agonized
⒁⑪⑫⑯⑿②⑥	ailments
⒁⑫⑪⑯⑥⑪⑬	aimlessly
⒊⑴⑾⒃⑦⑯⑹	airbrushes
⒊⑴⑾⒃⑦⑬⑩	airbrushing
⒊⑥②⑾⑬①⑥	airstrips
⑯⑪⒈⑫⑬⑥②	alarmist
⑮⑪⑴⒁⑿⒎⑿	albanian
⑮⑪⑴⒀⑿⒄⑹	albinos
⑮⑪③⑯⑽⑰⑪	alcohol
⒇⑪⑵⒌⑫⑯⑿	alderman
⒇⑪⑵⒌⑫⑭⑿	aldermen
⑯⑪⒋②⑿⑯⑥	alertness
⑯⑪⑭③⑥⑬③	alexic
⑮⑪④⑮⑪④⑯	alfalfa
⑮⑪⑻⑬⑴⑾⑯	algebra
⑮⑪⑻⒍⒎⑿⑹	algerians
⒁⑪⒎⑿⒁②⑥	alienates
⒁⑪⒎⑿⑬⑥②	alienist
⑮⑪⑬⑫⑯⑿⑬	alimony
⑮⑪③⑯⑪⒂⑿	alkaline
⑮⑪③⑯⑪⒂⑹	alkalis
⑮⑪③⑯⑪⒆⑵	alkaloid
⑯⑪⒀⑻⑯⑿⑥	allegiance
⑮⑪⑬⑶⒌⑬⑹	allegories
⑯⑪⑭⑶⑾⒄⑹	allegros
⑮⑪⑬⑪⒅⑨⑯	alleluia
⑮⑪⒌⑻⑭⑿⑹	allergens
⑯⑪⒀⑷⑬⒁②	alleviate
⑮⑪⑬⑶⒁②⒌	alligator
⑮⑪⑯③⒁②⑥	allocates
⑯⑪⑲⑯⑴⑯⑪	allowable
⑯⑪⒅⑺⑯⑿⑹	allusions
⒇⑪⑫⑯⑿⑮③	almanac
⑯⑪⑰⑩⑥⒂⑵	alongside
⑯⑪⒅④⑿⑯⑥	aloofness
⑮⑪①⑮③⑯⑹	alpacas
⑮⑪④⑯⑴⑭②	alphabet
⑮⑪⑥⒁⑦⑯⑿	alsatian
⒇⑪②⒋⑿⑯②	alternate
⒇⑪②⒌⑿⒁②	alternate
⑮⑪②⑬②⒏⑵	altitude
⑯⑪⒃⑫⑿⑯⑥	alumnus
⑮⑪⑷⑬⒄⑪⒌	alveolar
⑯⑫⑮⑪⑶⑯⑫	amalgam
⑮⑫⒌⑬⑪⑬⑥	amaryllis
⑮⑫⑯⑧⒌⑬⑦	amateurish
⑮⑫⑯⑹⑯⑿⑹	amazons
⑮⑫⑴⑬⑦⑯⑿	ambition
⑮⑫⑴⑬⑦⑯⑥	ambitious
⑮⑫⑴⑾⒄⑹⒎	ambrosia
⑮⑫⑴⑱⑦⑯⑹	ambushes
⑮⑫⑴⑱⑦⑬⑩	ambushing
⑯⑫⒀⑪⒍⒁②	ameliorate
⑯⑫⑭⑿⑵⑯⑵	amended
⑯⑫⑭⑿⑵⑬⑩	amending
⑯⑫⒀⑿⑬②⑬	amenity
⑮⑫⑯⑤⑬⑥②	amethyst
⑮⑫⑽⑮⑾⑬③	amharic
⑮⑫⑯⑿⒂②⑥	ammonites
⑮⑫⑿⑯⑥②⑬	amnesty
⑮⑫⒌⑯⑥⑪⑬	amorously
⑯⑫⒉②⒂⑹⑵	amortised
⑯⑫⑲⑿②⑯⑵	amounted
⑯⑫⑲⑿②⑬⑩	amounting
⑮⑫④⑬⑴⒎⑿	amphibian
⑮⑫④⑬⑴⒎⑥	amphibious
⑮⑫①⑪⑯⑥②	amplest
⑮⑫①⑪⑬④⒂	amplify
⑮⑫⑨⑯⑪⑯②	amulet
⑮⑿⑯⑶⑾⑮⑫	anagram
⑮⑿⑯⑪⑰⑶⑹	analogues
⑯⑿⑮⑪⑯⑻⑬	analogy
⑮⑿⑯⑪⒂⑹⑵	analysed
⑮⑿⑯⑪⑬⑥②	analyst
⑮⑿⑯①⒀⑥②	anapaest
⑮⑿⒌③⑬⑥②	anarchist
⑯⑿⑮⑤⑯⑫⑯	anathema
⑯⑿⑮②⑯⑫⑬	anatomy
⑮⑿⑥⑭⑥②⒌	ancestor
⑮⑩③⒌⒂②⑥	anchorites
⑮⑿③⒌⑫⑯⑿	anchorman
⑮⑿③⒌⑫⑭⑿	anchormen
⑮⑿⑧⒄⑷⑬⑹	anchovies
⑮⑿⑥⑬⑪⒌⑬	ancillary
⑮⑿⑵⑮⑿②⒁	andante
⑮⑿⑵⒂⒌⑿⑹	andirons
⑮⑿⑵⒉⑯⑿⑹	andorrans
⑮⑿⑵⑾⒆⑵⑹	androids
⑮⑿⑬③⑵⒄②	anecdote
⑯⑿⑭⑫⑯⑿⑬	anemone
⑮⑿⑻⑭⑪⑬③	angelic
⑮⑿⑻⑯⑪⑯⑥	angelus
⑮⑩⑶⒄⑪⑯⑿	angolan
⑮⑩⑶⑾⑬⑪⑬	angrily
⑮⑩⑥②⑾⑯⑫	angstrom
⑮⑩⑶⑼⑬⑦②	anguished
⑮⑩⑶⑨⑯⑪⒌	angular
⑮⑿⑬⑪⒀⑿⑹	anilines
⑮⑿⑬⑫⑯⑪⑹	animals
⑮⑿⑬⑫⒁②⑥	animates
⑮⑩③⑪⑯②⑥	anklets
⑮⑿⑭③⑥⑯⑹	annexes
⑯⑿⑭③⑥⑯⑹	annexes
⑯⑿⑭③⑥⑬⑩	annexing
⑯⑿⒂⑯⑪⒁②	annihilate
⑮⑿⑯②⒁②⑥	annotates
⑯⑿⑲⑿⑥⒌⑹	announcers
⑯⑿⑲⑿⑥⑯⑹	announces
⑯⑿⑲⑿⑥⑬⑩	announcing
⑮⑿⑨⑱⑯⑪⑬	annually
⑮⑿⑨⑱⑯⑪⑹	annuals
⑯⑿⒏⑬②⑬⑹	annuities
⑮⑿⑯⑵⒂⑿⑹	anodynes
⑯⑿⒆⑿②⑯⑵	anointed
⑯⑿⒆⑿②⑬⑩	anointing
⑯⑿⑰⑫⑯⑪⑬	anomaly
⑮⑿②⑬⑵⒁②	antedate
⑮⑿②⑬⑪⒄①	antelope
⑮⑿②⑬⑾⒅⑫	anteroom
⑮⑿⑤⑾⑮③⑥	anthrax
⑮⑿②⑬⑵⒄②	antidote
⑮⑿②⒀⑶⑯⑿	antiguan
⑮⑿②⑬⑿⑰③	antiknock
⑮⑿②⑯⑿⑬⑫	antonym
⑮⑩⑹⒂⑯②⑬	anxiety
⑭⑿⑬⑴⑰⑵⑬	anybody
⑭⑿⑬①⑪⒁⑥	anyplace
⑯①⒍⒎⑿②⑥	aperients
⒁①⑭③⑥⑯⑹	apexes
⑮④⒌⑬⑹⑯⑫	aphorism
⒁①⒍⑬⑥②⑥	apiarists
⑯①⑰⑪⑯⑻⑬	apology
⑮①⑯⑤⑭⑫⑹	apophthegms
⑯①⑰⑥②⒁②	apostate
⑯①⑰⑥⑯⑪⑹	apostles
⑮①⒌⒁②⑯⑥	apparatus
⑯①⑮⑾⑯⑪⑵	apparelled
⑯①⑮⑾⑯⑪⑹	apparels
⑯①⑮⑾⑯⑿②	apparent
⑮①⒌⑬⑦⑯⑿	apparition
⑯①⑭⑪⑯⑿②	appellant
⑯①⑭⑿⑵⑬⑻	appendage
